pump_age,water_tech,water_source,management,district,target,risk_score,risk_pct,#lat_deg,#lon_deg,#water_point_name,#adm2
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5626552200000046,30.057040500000003,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5638094800000022,30.099411289999995,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5952260000000056,30.126176299999997,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.597326799999997,30.129647699999996,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5891530000000125,30.136633299999996,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5865453999999968,30.137783300000013,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.581774481,30.13018363,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.574842382,30.1295567,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.571500557,30.11840951,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.567830510000008,30.100667609999977,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.566244605,30.10198282,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5646009800000023,30.132986820000006,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5631838500000026,30.143501989999994,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5590962999999989,30.120759859999986,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.559270030000003,30.127961280000015,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5583824400000148,30.134934739999984,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5563266199999957,30.144052589999987,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.61196993,29.92959365,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5839702700000111,30.155928509999995,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.5783885500000043,30.155362329999992,Rwanda,Gicumbi
